category,target,country,scoped_to,alias_any,alias_en,alias_nl,alias_de,alias_fr,alias_ru,n_aliases,sitelinks,source,your_decision,your_note
EVENT,War in Ukraine,,any,,ukraine war; war in ukraine,oorlog in oekraïne,ukraine krieg; ukrainekrieg,guerre en ukraine,война в украине; война на украине; сво; спецоперация,8,,hand,,also in ru: война на украине
EVENT,Russian annexation of Crimea,,any,,annexation of crimea; crimea,crimea; krim,crimea; krim,annexion de la crimée; la crimée; péninsule de crimée,crimea; аннексия крыма; крым; крым наш; крым российский; крымнаш; крымнашисты; присоединение крыма,7,,hand,,"also присоединение крыма, крым наш, крымнашисты"
EVENT,Maidan / 2014 Ukrainian revolution,,any,maidan,euromaidan; maidan,maidan,maidan,maidan; maïdan,maidan; допрыгались; евромайдан; майдан; майданутые,4,,hand,,"also derogative: майданутые, допрыгались"
EVENT,Iranian embassy bombing,,any,,embassy strike; iranian embassy bombing,ambassade bombardement,,bombardement de l'ambassade; frappe sur l'ambassade,удар по посольству,4,,hand,,fr?
EVENT,Noordstation violence (Brussels),,any,,noordstation,drugsgeweld; geweld aan het noordstation; geweld noordstation; noordstation; schietpartij brussel,,gare du nord; violence gare du nord,,3,,hand,,"it's violence that's important here, not just the station, in aliases not always present."
EVENT,Trump rally shooting,,any,,assassination attempt; rally shooting,,,,,2,,hand,,
DOCUMENT,Budapest Memorandum,,any,budapest memorandum,budapest memorandum,boedapest memorandum; budapest memorandum,budapest memorandum; budapester memorandum,budapest memorandum; mémorandum de budapest,budapest memorandum; будапештский меморандум,5,,hand,,
DOCUMENT,Minsk agreements,,any,minsk,minsk; minsk agreements,minsk,minsk,minsk,minsk; минские соглашения,3,,hand,,"the city can be used to refer to agreement, but can be ambiguous"
DOCUMENT,GDPR / data protection regulation,,any,dsgvo; gdpr,data protection regulation; dsgvo; gdpr,avg; dsgvo; gdpr,datenschutzgrundverordnung; dsgvo; gdpr,dsgvo; gdpr; rgpd,dsgvo; gdpr,6,,hand,,
RELIGION,Islam,,any,islam,islam; islamic; muslim; muslims,islam; islamitisch; moslim; moslims,islam; islamisch; muslim; muslime,islam; musulman; musulmans,islam; ислам; мусульмане; мусульманский,14,,hand,,
RELIGION,Christianity,,any,,christian; christianity; christians,christelijk; christen; christendom,christen; christlich,chrétien; chrétiens,христиане; христианство,11,,hand,,
RELIGION,Judaism,,any,,jewish; jews; judaism,joden; joods,juden; jüdisch,juif; juifs,евреи; иудаизм,11,,hand,,
RELIGION,Catholicism,,any,,catholic,katholiek,katholisch,catholique,католицизм,5,,hand,,
RELIGION,Atheism,,any,,atheism; atheist,atheïsme; atheïst,atheismus,athéisme,атеизм,7,,hand,,
RELIGION,Hinduism,,any,,hindu; hinduism,hindoeïsme,hinduismus,hindouisme,индуизм,6,,hand,,
RELIGION,Buddhism,,any,,buddhism; buddhist,boeddhisme,buddhismus,bouddhisme,буддизм,6,,hand,,
ORGANISATION,NATO,,United States; United Kingdom; France; Belgium; Germany; Russia; Netherlands,nato; navo; otan,nato; navo; otan,nato; navo; otan,nato; navo; otan,nato; navo; otan,nato; navo; otan; альянс; нато; натовск; натовские; натовский,4,,hand,,
ORGANISATION,United Nations,,United States; United Kingdom; France; Belgium; Germany; Russia; Netherlands,un; uno,un; united nations; uno,un; uno; verenigde naties; vn,un; uno; vereinte nationen,onu; un; uno,un; uno; оон,8,,hand,,
ORGANISATION,European Commission,,United States; United Kingdom; France; Belgium; Germany; Russia; Netherlands,,european commission,europese commissie,europäische kommission,commission européenne,еврокомиссия,5,,hand,,
ORGANISATION,Hamas,,United States; United Kingdom; France; Belgium; Germany; Russia; Netherlands,hamas,hamas,hamas,hamas,hamas,hamas; хамас,2,,hand,,
ORGANISATION,Hezbollah,,United States; United Kingdom; France; Belgium; Germany; Russia; Netherlands,hezbollah; hizbollah,hezbollah; hizbollah,hezbollah; hizbollah,hezbollah; hizbollah,hezbollah; hizbollah,hezbollah; hizbollah; хезболла,3,,hand,,
ORGANISATION,Taliban,,United States; United Kingdom; France; Belgium; Germany; Russia; Netherlands,taliban,taliban,taliban,taliban,taliban,taliban; талибан,2,,hand,,
ORGANISATION,Ukrainian armed forces,,United States; United Kingdom; France; Belgium; Germany; Russia; Netherlands,,ukrainian armed forces; ukrainian army,oekraïense leger,ukrainische armee,armée ukrainienne,вооруженные силы украины; всу; украинская армия,7,,hand,,
ORGANISATION,AfD,,United States; United Kingdom; France; Belgium; Germany; Russia; Netherlands,afd,afd,afd,afd; alternative für deutschland,afd,afd,2,,hand,,
ORGANISATION,CDU,,United States; United Kingdom; France; Belgium; Germany; Russia; Netherlands,cdu,cdu,cdu,cdu; christlich demokratische union,cdu,cdu,2,,hand,,
ORGANISATION,SPD,,United States; United Kingdom; France; Belgium; Germany; Russia; Netherlands,spd,spd,spd,spd,spd,spd,1,,hand,,
ORGANISATION,Die Linke,,United States; United Kingdom; France; Belgium; Germany; Russia; Netherlands,die linke,die linke,die linke,die linke; linkspartei,die linke,die linke,2,,hand,,
ORGANISATION,Vlaams Belang,,United States; United Kingdom; France; Belgium; Germany; Russia; Netherlands,vlaams belang,vlaams belang,vlaams belang,vlaams belang,vlaams belang,vlaams belang,1,,hand,,
ORGANISATION,N-VA,,United States; United Kingdom; France; Belgium; Germany; Russia; Netherlands,n-va; nva,n-va; nva,n-va; nva,n-va; nva,n-va; nva,n-va; nva,2,,hand,,
ORGANISATION,PVV,,United States; United Kingdom; France; Belgium; Germany; Russia; Netherlands,pvv,pvv,pvv,pvv,pvv,pvv,1,,hand,,
ORGANISATION,Rassemblement National,,United States; United Kingdom; France; Belgium; Germany; Russia; Netherlands,rn,rn,rn,rn,front national; rassemblement national; rn,rn,3,,hand,,
ORGANISATION,La France Insoumise,,United States; United Kingdom; France; Belgium; Germany; Russia; Netherlands,lfi,lfi,lfi,lfi,france insoumise; lfi,lfi,2,,hand,,
ORGANISATION,Republican Party,,United States; United Kingdom; France; Belgium; Germany; Russia; Netherlands,gop,gop; republican party; republicans,gop; republikeinen,gop; republikaner,gop; républicains,gop; республиканцы,7,,hand,,
ORGANISATION,Democratic Party (US),,United States; United Kingdom; France; Belgium; Germany; Russia; Netherlands,,democratic party; democrats,democraten,demokraten,démocrates,демократы,6,,hand,,
ORGANISATION,Labour Party (UK),,United States; United Kingdom; France; Belgium; Germany; Russia; Netherlands,,labour; labour party,labour,labour,parti travailliste,лейбористы,4,,hand,,
ORGANISATION,Conservative Party (UK),,United States; United Kingdom; France; Belgium; Germany; Russia; Netherlands,tories,conservative party; conservatives; tories,conservatieven; tories,konservative; tories,conservateurs; tories,tories; консерваторы,7,,hand,,
ORGANISATION,United Russia,,United States; United Kingdom; France; Belgium; Germany; Russia; Netherlands,,united russia,verenigd rusland,einiges russland,russie unie,единая россия,5,,hand,,
ORGANISATION,BBC,,United States; United Kingdom; France; Belgium; Germany; Russia; Netherlands,bbc,bbc,bbc,bbc,bbc,bbc,1,,hand,,
ORGANISATION,VRT,,United States; United Kingdom; France; Belgium; Germany; Russia; Netherlands,vrt; vrt nws,vrt; vrt nws,vrt; vrt nws,vrt; vrt nws,vrt; vrt nws,vrt; vrt nws,2,,hand,,
ORGANISATION,ZDF,,United States; United Kingdom; France; Belgium; Germany; Russia; Netherlands,zdf,zdf,zdf,zdf,zdf,zdf,1,,hand,,
ORGANISATION,BFMTV,,United States; United Kingdom; France; Belgium; Germany; Russia; Netherlands,bfm; bfmtv,bfm; bfmtv,bfm; bfmtv,bfm; bfmtv,bfm; bfmtv,bfm; bfmtv,2,,hand,,
SOCIAL_ISSUE,Immigration,,any,,immigrants; immigration,immigratie; immigratiebeleid; migratie,einwanderung; migration; zuwanderung,immigration; migration,иммиграция; мигранты; миграция,11,,hand,,
SOCIAL_ISSUE,Integration policy,,any,,integration policy,integratie; integratiebeleid,integrationspolitik,intégration,интеграция,6,,hand,,
SOCIAL_ISSUE,Multiculturalism,,any,,multiculturalism,multiculturalisme; multiculturele samenleving,multikulti,multiculturalisme,мультикультурализм,5,,hand,,
SOCIAL_ISSUE,Racism,,any,,racism; racist,racisme; racistisch,rassismus,racisme,расизм,6,,hand,,
SOCIAL_ISSUE,Antisemitism,,any,,antisemitism,antisemitisme,antisemitismus,antisémitisme,антисемитизм,5,,hand,,
SOCIAL_ISSUE,Islamophobia,,any,,islamophobia,islamofobie,islamfeindlichkeit,islamophobie,исламофобия,5,,hand,,
SOCIAL_ISSUE,Women's rights,,any,,feminism; feminist; women's rights,feminisme; vrouwenrechten,feminismus; frauenrechte,droits des femmes; féminisme,права женщин; феминизм,11,,hand,,
SOCIAL_ISSUE,LGBT rights,,any,lgbt; lgbtq,gay rights; homosexuality; lgbt; lgbtq,homorechten; homoseksualiteit; lgbt; lgbtq,homosexualität; lgbt; lgbtq,homosexualité; lgbt; lgbtq,lgbt; lgbtq; гомосексуальность; лгбт,10,,hand,,
SOCIAL_ISSUE,Transgender rights,,any,,trans rights; transgender,transgender,transgender,transgenre,трансгендер,4,,hand,,
SOCIAL_ISSUE,Abortion,,any,,abortion,abortus,abtreibung,avortement,аборт,5,,hand,,
SOCIAL_ISSUE,Alcohol,,any,alcohol,alcohol; alcoholism; drinking,alcohol; alcoholisme; bier; drank; zuipen,alcohol; alkohol; alkoholismus,alcohol; alcoolisme,alcohol; алкоголизм; алкоголь,12,,hand,,
SOCIAL_ISSUE,Tobacco,,any,,cigarette; smokers; smoking; tobacco,roken; rokers; rookwaren; sigaret; tabak,rauchen; raucher; tabak,cigarette; fumeurs; tabac,курение; табак,15,,hand,,
SOCIAL_ISSUE,Drug policy,,any,,drug policy,drugsbeleid,drogenpolitik,politique des drogues,наркополитика,5,,hand,,
SOCIAL_ISSUE,Drug use,,any,fentanyl,drug use; drugs; fentanyl,drugs; drugsgebruik; fentanyl; wiet,drogen; fentanyl; kiffen,drogue; fentanyl,fentanyl; наркотики,9,,hand,,
SOCIAL_ISSUE,Cannabis legalisation,,any,cannabis,cannabis; cannabis legalisation; marijuana,cannabis; legalisering,cannabis; cannabis-legalisierung; legalisierung,cannabis; légalisation,cannabis; легализация,8,,hand,,
SOCIAL_ISSUE,Political correctness,,any,woke; wokeness,political correctness; woke; wokeness,betutteling; politieke correctheid; woke; wokeness,bevormundung; politische korrektheit; woke; wokeness,politiquement correct; woke; wokeness,woke; wokeness; политкорректность,9,,hand,,
SOCIAL_ISSUE,Free speech,,any,,free speech; freedom of speech,cancelcultuur; cancelen; censuur; meningsuiting; vrijheid van meningsuiting,meinungsfreiheit,liberté d'expression,свобода слова,6,,hand,,
SOCIAL_ISSUE,Press freedom,,any,,journalism; press freedom,journalistiek; persvrijheid,pressefreiheit,journalisme; liberte de la presse,журналистика; свобода прессы,9,,hand,,
SOCIAL_ISSUE,Censorship,,any,,censorship,censuur,zensur,censure,цензура,5,,hand,,
SOCIAL_ISSUE,Terrorism,,any,,terrorism; terrorist,terrorisme,terrorismus,terrorisme,терроризм,5,,hand,,
SOCIAL_ISSUE,Climate change,,any,,climate change; global warming,klimaatverandering; opwarming,klimawandel,changement climatique,изменение климата,7,,hand,,
SOCIAL_ISSUE,Nuclear weapons,,any,,nuclear disarmament; nuclear weapons,kernwapens,atomwaffen,armes nucléaires,ядерное оружие,6,,hand,,
SOCIAL_ISSUE,Conscription / mobilisation,,any,,conscription; draft; mobilisation,dienstplicht,wehrpflicht,conscription,мобилизац; мобилизация; призыв; призывник; уклонист; уклонисты,8,,hand,,
SOCIAL_ISSUE,Military spending,,any,,defence spending; military spending,defensie-uitgaven,verteidigungsausgaben,dépenses militaires,военные расходы,6,,hand,,
SOCIAL_ISSUE,Aid to Ukraine,,any,,aid to ukraine; support for ukraine,steun aan oekraïne,hilfe für die ukraine,aide a l ukraine; aide à l'ukraine,помощь украине,7,,hand,,
SOCIAL_ISSUE,Sanctions,,any,,sanctions,sancties,sanktionen,sanctions,санкции,4,,hand,,
SOCIAL_ISSUE,Healthcare,,any,,health care; healthcare,gezondheidszorg,gesundheitswesen; kassenbeitraege; krankenkasse,santé,здравоохранение,8,,hand,,
SOCIAL_ISSUE,Housing policy,,any,,housing,huisvestingsbeleid; woningmarkt,wohnungspolitik,logement,жилищная политика,6,,hand,,
SOCIAL_ISSUE,Social security,,any,,benefits; social security; unemployment benefits; welfare,sociale zekerheid; uitkering; werkloosheidsuitkering,arbeitslosengeld; bürgergeld; hartz iv; sozialversicherung,allocations; chômage; sécurité sociale,безработица; пособия; социальное обеспечение,6,,hand,,
SOCIAL_ISSUE,Public broadcasting,,any,,public broadcaster,publieke omroep,ard; oeffentlich-rechtlicher rundfunk; rundfunk; rundfunkbeitrag; staatsfunk; zdf; zwangsgebuehren; öffentlich-rechtlicher rundfunk,service public audiovisuel,общественное вещание,6,,hand,,
SOCIAL_ISSUE,Government debt / spending,,any,,government debt; public spending,staatsschuld,neue schulden; schuldenbremse; sondervermoegen; sondervermögen,dette publique,госдолг,9,,hand,,
SOCIAL_ISSUE,Infrastructure investment,,any,,infrastructure,infrastructuur,infrastruktur,infrastructure,инфраструктура,4,,hand,,
SOCIAL_ISSUE,Skilled-worker immigration,,any,,skilled workers,arbeidsmigratie,fachkraefte; fachkräfte; fachkräftemangel,main d'oeuvre qualifiée,трудовая миграция,7,,hand,,
SOCIAL_ISSUE,Judicial independence,,any,,judges; judicial system; judiciary,klassenjustitie; rechters; rechtssysteem,justiz; verfassungsschutz,justice; magistrats,судебная система,11,,hand,,
SOCIAL_ISSUE,Privacy / surveillance,,any,,privacy; surveillance,privacy; privacywetten,datenschutz; überwachung,surveillance; vie privée,приватность; слежка,8,,hand,,
SOCIAL_ISSUE,Capital punishment,,any,,death penalty,doodstraf,todesstrafe,peine de mort,смертная казнь,5,,hand,,
SOCIAL_ISSUE,Gun control,,any,,gun control; gun rights,wapenbezit,waffenrecht,port d'armes,оружие,6,,hand,,
SOCIAL_ISSUE,Far-right politics,,any,,extremism; far right,extreemrechts; rechtse partijen,rechtsextrem; rechtsextremismus,extrême droite,ультраправые,8,,hand,,
SOCIAL_ISSUE,Patriotism / nationalism,,any,,nationalism; patriotism,nationalisme,nationalismus; patriotismus; vaterlandsliebe,nationalisme; patriotisme,национализм; патриотизм,9,,hand,,
SOCIAL_ISSUE,Zionism,,any,,zionism; zionist,zionisme,zionismus,sionisme,сионизм,6,,hand,,
SOCIAL_ISSUE,Adultery,,any,,adultery; affair; infidelity,echtbreuk; overspel,ehebruch,adultère,измена; прелюбодеяние,9,,hand,,
SOCIAL_ISSUE,Left-wing politics,,any,,left wing; leftist; liberal values; the left,links; linkse,die linken; linke politik,la gauche,левые,10,,hand,,
SOCIAL_ISSUE,Right-wing politics,,any,,right wing; the right,rechts; rechtse,die rechten,la droite,правые,7,,hand,,
SOCIAL_ISSUE,Uyghurs / Xinjiang,,any,xinjiang,uighurs; uyghur; uyghurs; xinjiang,oeigoeren; xinjiang,uiguren; xinjiang,ouighours; ouïghours; xinjiang,xinjiang; уйгуры,9,,hand,,
SOCIAL_ISSUE,Colonial history,,any,,colonial history; colonialism,koloniaal; kolonialisme; kolonisatie; kolonisatiegeschichte; kolonisatiegeschiedenis; koloniseren,kolonialismus,colonialisme,колониализм,8,,hand,,
SOCIAL_ISSUE,Democracy,,any,,democracy; democratic,democratie,demokratie,democratie francaise; démocratie,демократия,7,,hand,,
SOCIAL_ISSUE,Beauty standards,,any,,beauty contest; beauty standards; pageant,missverkiezing; schoonheidsideaal,schönheitsideal,concours de beauté,конкурс красоты,8,,hand,,
SOCIAL_ISSUE,Wearing a suit (Zelensky),,any,,dress code; suit; wearing a suit,kostuum; pak dragen,anzug,costume,костюм,8,,hand,,
SOCIAL_ISSUE,Secret Service conduct,,any,secret service,secret service; secret service actions,geheime dienst; secret service,secret service,secret service,secret service; секретная служба,4,,hand,,
SOCIAL_ISSUE,Shooting / gun violence,,any,,gun violence; shooting; sniper,schietpartij,schiesserei,fusillade,стрельба,7,,hand,,
SOCIAL_ISSUE,Election promises,,any,,campaign promises; election promises,verkiezingsbeloften,wahlversprechen,promesses électorales,предвыборные обещания,6,,hand,,
SOCIAL_ISSUE,Crowd reaction,,any,,crowd; the crowd reaction,de menigte,die menge,la foule,толпа,6,,hand,,
SOCIAL_ISSUE,Golan Heights,,any,golan,golan; golan heights,golan; golanhoogten,golan; golanhöhen,golan; plateau du golan,golan; голанские высоты,6,,hand,,
SOCIAL_ISSUE,Open borders,,any,,open borders,open grenzen,offene grenzen,frontières ouvertes,открытые границы,5,,hand,,
SOCIAL_ISSUE,Peace negotiations,,any,,ceasefire; peace talks,vrede; vredesbesprekingen,friedensverhandlungen,négociations de paix,мирные переговоры; перемирие,8,,hand,,
PERSON,Donald Trump,United States,United States,donald trump,donald trump; trump,donald trump; trump,donald trump; trump,donald trump; trump,donald trump; trump; дональд трамп; трамп,2,334.0,wikidata,,
PERSON,Vladimir Putin,Russia,Russia,vladimir poetin; vladimir poutine; vladimir putin; wladimir wladimirowitsch putin,poetin; poutine; putin; vladimir poetin; vladimir poutine; vladimir putin; wladimir wladimirowitsch putin,poetin; poutine; putin; vladimir poetin; vladimir poutine; vladimir putin; wladimir wladimirowitsch putin,poetin; poutine; putin; vladimir poetin; vladimir poutine; vladimir putin; wladimir wladimirowitsch putin,poetin; poutine; putin; vladimir poetin; vladimir poutine; vladimir putin; wladimir wladimirowitsch putin,poetin; poutine; putin; vladimir poetin; vladimir poutine; vladimir putin; wladimir wladimirowitsch putin; владимир владимирович путин; путин,5,315.0,wikidata,,
PERSON,François Hollande,France,France,françois hollande,françois hollande; hollande,françois hollande; hollande,françois hollande; hollande,françois hollande; hollande,françois hollande; hollande; олланд; франсуа олланд,2,218.0,wikidata,,
PERSON,Dmitry Medvedev,Russia,Russia,dmitri anatoljewitsch medwedew; dmitri medvedev; dmitry medvedev,dmitri anatoljewitsch medwedew; dmitri medvedev; dmitry medvedev; medvedev; medwedew,dmitri anatoljewitsch medwedew; dmitri medvedev; dmitry medvedev; medvedev; medwedew,dmitri anatoljewitsch medwedew; dmitri medvedev; dmitry medvedev; medvedev; medwedew,dmitri anatoljewitsch medwedew; dmitri medvedev; dmitry medvedev; medvedev; medwedew,dmitri anatoljewitsch medwedew; dmitri medvedev; dmitry medvedev; medvedev; medwedew; дмитрий анатольевич медведев; медведев,4,169.0,wikidata,,
PERSON,Tony Blair,United Kingdom,United Kingdom,tony blair,tony blair,tony blair,tony blair,tony blair,tony blair; блэр; тони блэр,2,156.0,wikidata,,
PERSON,Boris Johnson,United Kingdom,United Kingdom,boris johnson,boris johnson; johnson,boris johnson; johnson,boris johnson; johnson,boris johnson; johnson,boris johnson; johnson; борис джонсон; джонсон,2,151.0,wikidata,,
PERSON,Theresa May,United Kingdom,United Kingdom,theresa may,theresa may,may; theresa may,may; theresa may,may; theresa may,may; theresa may; тереса мэй,2,147.0,wikidata,,
PERSON,Bernie Sanders,United States,United States,bernie sanders,bernie sanders; sanders,bernie sanders; sanders,bernie sanders; sanders,bernie sanders; sanders,bernie sanders; sanders; берни сандерс; сандерс,2,140.0,wikidata,,
PERSON,Olaf Scholz,Germany,Germany,olaf scholz,olaf scholz; scholz,olaf scholz; scholz,olaf scholz; scholz,olaf scholz; scholz,olaf scholz; scholz; олаф шольц; шольц,2,126.0,wikidata,,
PERSON,Keir Starmer,United Kingdom,United Kingdom,keir starmer,keir starmer; starmer,keir starmer; starmer,keir starmer; starmer,keir starmer; starmer,keir starmer; starmer; кир стармер; стармер,2,125.0,wikidata,,
PERSON,Melania Trump,United States,United States,melania trump,melania trump,melania trump,melania trump,melania trump,melania trump; мелания трамп; трамп,2,118.0,wikidata,,
PERSON,Marine Le Pen,France,France,marine le pen,le pen; marine le pen,le pen; marine le pen,le pen; marine le pen,le pen; marine le pen,le pen; marine le pen; марин ле пен; пен,2,117.0,wikidata,,
PERSON,Frank-Walter Steinmeier,Germany,Germany,frank-walter steinmeier,frank-walter steinmeier; steinmeier,frank-walter steinmeier; steinmeier,frank-walter steinmeier; steinmeier,frank-walter steinmeier; steinmeier,frank-walter steinmeier; steinmeier; франк-вальтер штайнмайер; штайнмайер,2,115.0,wikidata,,
PERSON,JD Vance,United States,United States,j. d. vance; jd vance,j. d. vance; jd vance; vance,j. d. vance; jd vance; vance,j. d. vance; jd vance; vance,j. d. vance; jd vance; vance,j. d. vance; jd vance; vance; вэнс; джеймс дэвид вэнс,3,111.0,wikidata,,
PERSON,Nancy Pelosi,United States,United States,nancy pelosi,nancy pelosi; pelosi,nancy pelosi; pelosi,nancy pelosi; pelosi,nancy pelosi; pelosi,nancy pelosi; pelosi; нэнси пелоси; пелоси,2,107.0,wikidata,,
PERSON,Sergey Lavrov,Russia,Russia,sergei wiktorowitsch lawrow; sergej viktorovitsj lavrov; sergey lavrov; sergueï lavrov,lavrov; lawrow; sergei wiktorowitsch lawrow; sergej viktorovitsj lavrov; sergey lavrov; sergueï lavrov,lavrov; lawrow; sergei wiktorowitsch lawrow; sergej viktorovitsj lavrov; sergey lavrov; sergueï lavrov,lavrov; lawrow; sergei wiktorowitsch lawrow; sergej viktorovitsj lavrov; sergey lavrov; sergueï lavrov,lavrov; lawrow; sergei wiktorowitsch lawrow; sergej viktorovitsj lavrov; sergey lavrov; sergueï lavrov,lavrov; lawrow; sergei wiktorowitsch lawrow; sergej viktorovitsj lavrov; sergey lavrov; sergueï lavrov; лавров; сергей викторович лавров,5,102.0,wikidata,,
PERSON,Friedrich Merz,Germany,Germany,friedrich merz,friedrich merz; merz,friedrich merz; merz,friedrich merz; merz,friedrich merz; merz,friedrich merz; merz; мерц; фридрих мерц,2,100.0,wikidata,,
PERSON,Alexandria Ocasio-Cortez,United States,United States,alexandria ocasio-cortez,alexandria ocasio-cortez; ocasio-cortez,alexandria ocasio-cortez; ocasio-cortez,alexandria ocasio-cortez; ocasio-cortez,alexandria ocasio-cortez; ocasio-cortez,alexandria ocasio-cortez; ocasio-cortez; александрия окасио-кортес; окасио-кортес,2,91.0,wikidata,,
PERSON,Mikhail Mishustin,Russia,Russia,michail misjoestin; michail wladimirowitsch mischustin; mikhail mishustin; mikhaïl michoustine,michail misjoestin; michail wladimirowitsch mischustin; michoustine; mikhail mishustin; mikhaïl michoustine; mischustin; mishustin; misjoestin,michail misjoestin; michail wladimirowitsch mischustin; michoustine; mikhail mishustin; mikhaïl michoustine; mischustin; mishustin; misjoestin,michail misjoestin; michail wladimirowitsch mischustin; michoustine; mikhail mishustin; mikhaïl michoustine; mischustin; mishustin; misjoestin,michail misjoestin; michail wladimirowitsch mischustin; michoustine; mikhail mishustin; mikhaïl michoustine; mischustin; mishustin; misjoestin,michail misjoestin; michail wladimirowitsch mischustin; michoustine; mikhail mishustin; mikhaïl michoustine; mischustin; mishustin; misjoestin; михаил владимирович мишустин; мишустин,5,88.0,wikidata,,
PERSON,Marco Rubio,United States,United States,marco rubio,marco rubio; rubio,marco rubio; rubio,marco rubio; rubio,marco rubio; rubio,marco rubio; rubio; марко рубио; рубио,2,87.0,wikidata,,
PERSON,Jeremy Corbyn,United Kingdom,United Kingdom,jeremy corbyn,corbyn; jeremy corbyn,corbyn; jeremy corbyn,corbyn; jeremy corbyn,corbyn; jeremy corbyn,corbyn; jeremy corbyn; джереми бернард корбин; корбин,2,78.0,wikidata,,
PERSON,Nicola Sturgeon,United Kingdom,United Kingdom,nicola sturgeon,nicola sturgeon,nicola sturgeon,nicola sturgeon,nicola sturgeon,nicola sturgeon; никола стерджен; стерджен,2,74.0,wikidata,,
PERSON,Mitch McConnell,United States,United States,mitch mcconnell,mitch mcconnell,mitch mcconnell,mitch mcconnell,mitch mcconnell,mitch mcconnell; макконнелл; митч макконнелл,2,73.0,wikidata,,
