annotator,title,comment_id,comment_text,author,stance_pro,stance_con,argument_type,pathos_type,ethos_appeal,ethos_challenge,word_count,context,timestamp,published_date,like_count,mentions,root_comment_id,root_comment_text,lang
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BU8mtJAAZ,Did Iran carry out Oct 7? How about the Nazi attrocities? Perhaps that was Iran too!! This all reminds me of that lie with Tony Blair that Iraq was nurturing the Taliban so Iraq was responsible for the Twin Tower attacks. When are you lot going to remove the blindfold from your eyes and see the world for what it is?,user_0020,,"israel, the west","appeal to reason, giving evidence (logos), appeal to emotion or moral values (pathos), appeal to/challenging authority (ethos)","negative emotion (fear, anger, guilt, etc.), sarcasm/irony(the opposite meaning)",,"user, tony blair, the west",62,,2024-04-13 22:24:58+00:00,2024-04-13T22:24:58Z,0.0,elsoil3387,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BUAoxsA5q,October 7th is not a justification to attack a foreign embassy. Iran didn't have part in planning October 7th they had just given weapons well before then like usual​,user_0021,iran,"israel, iranian embassy bombing","appeal to reason, giving evidence (logos)",,,,29,,2024-04-13 22:25:14+00:00,2024-04-13T22:25:14Z,0.0,elsoil3387,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BUG1vvtn_,"​ Another bro born on October 7th, look back at the list of massacres on Israelis. It's best to get an outlook from both sides and make a decision based on a full-picture.",user_0022,israel,,"appeal to reason, giving evidence (logos), appeal to emotion or moral values (pathos)","negative emotion (fear, anger, guilt, etc.)",,,33,,2024-04-13 22:25:57+00:00,2024-04-13T22:25:57Z,66.0,elsoil3387,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BUHSrVB5f,​And Iran has the right to strike back 100× more than Israel as what Israel did is direct and what Iran did was indirect,user_0021,"iran, iran's attack","israel, iranian embassy bombing","appeal to reason, giving evidence (logos), appeal to emotion or moral values (pathos)","negative emotion (fear, anger, guilt, etc.)",,,24,"Iran was financing attacks against Israel for a long time. Just because they were not directly involved, it doesn’t mean they can deny this. Israel had all the right to hit Iranian targets to defend itself",2024-04-13 22:26:09+00:00,2024-04-13T22:26:09Z,36.0,feszty,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BUHVujvIZ,Ocrober 7th was Iranian operation,user_0023,israel,iran,"appeal to reason, giving evidence (logos)",,,,5,,2024-04-13 22:26:09+00:00,2024-04-13T22:26:09Z,42.0,,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BULZ6hcjk,Iran attacking Isreal through hizbollah regularly since Oct 7 from North. Are you following news or only AZ.,user_0024,israel,"iran, iran's attack","appeal to reason, giving evidence (logos), appeal to emotion or moral values (pathos), appeal to/challenging authority (ethos)","negative emotion (fear, anger, guilt, etc.)",,user,18,,2024-04-13 22:26:42+00:00,2024-04-13T22:26:42Z,0.0,,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BU_YvJn4T,​ queen Elizabeth was black too.😝,user_0025,,,,,,,6,Ocrober 7th was Iranian operation,2024-04-13 22:28:45+00:00,2024-04-13T22:28:45Z,15.0,filus05,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BUc8g6U5F,They are so stupid to know it,user_0026,,iran,"appeal to emotion or moral values (pathos), appeal to/challenging authority (ethos)","negative emotion (fear, anger, guilt, etc.)",,user,7,"So you just ignore the millions of dollars and weapons that Iran has supplied. So yes, Gaza is basically Iranian territory. | do u think Iran is part of Gaza? Silly boy",2024-04-13 22:29:07+00:00,2024-04-13T22:29:07Z,0.0,bucsredsoxredwings,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BUfakLKzg,IS-RA-EL,user_0027,israel,,,,,,1,,2024-04-13 22:29:35+00:00,2024-04-13T22:29:35Z,6.0,,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BUgAfc3kt,Israel attacked Iran first? You must be a special kind of stupid.,user_0028,iran,israel,"appeal to emotion or moral values (pathos), appeal to/challenging authority (ethos)","negative emotion (fear, anger, guilt, etc.)",,user,12,,2024-04-13 22:29:39+00:00,2024-04-13T22:29:39Z,0.0,,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BUi31REFD,Yous all talking like yous have the solution to resolve this...yous can't even resolve the comment section...for fcks sake...blessed with life and this is what we do with it!,user_0029,,,,,,,29,,2024-04-13 22:29:55+00:00,2024-04-13T22:29:55Z,16.0,,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BUiXWvvO1,"​Those Arabs could make peace long time ago, it's their own fault.",user_0030,,iran,appeal to emotion or moral values (pathos),"negative emotion (fear, anger, guilt, etc.)",,,12,​ did you forget 75 yrs of Israeli genocide and Apartheid?,2024-04-13 22:29:59+00:00,2024-04-13T22:29:59Z,0.0,rakheesivnath8804,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BUlboIzXR,"Quit pretending that you don't know that Hamas is funded and trained by Iran. Hamas is a proxy of Iran, everyone knows that.",user_0031,,"iran, hamas","appeal to reason, giving evidence (logos), appeal to emotion or moral values (pathos), appeal to/challenging authority (ethos)","negative emotion (fear, anger, guilt, etc.)",,user,23,,2024-04-13 22:30:24+00:00,2024-04-13T22:30:24Z,0.0,,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BUnngnAGG,"if you think Iran isn’t backing, funding, supplying, and influencing Gaza via Hamas you’re a fool. Open your eyes and maybe go study some history.",user_0032,,"iran, hamas","appeal to reason, giving evidence (logos), appeal to emotion or moral values (pathos), appeal to/challenging authority (ethos)","negative emotion (fear, anger, guilt, etc.)",,user,25,do u think Iran is part of Gaza? Silly boy,2024-04-13 22:30:42+00:00,2024-04-13T22:30:42Z,51.0,klausmaus1886,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BUpJ0mcf-,​do you forget west's illegal illigtimate son was kept in our homeland just to run from world disgrace to west for its historical blunders ....,user_0033,,the west,"appeal to reason, giving evidence (logos), appeal to emotion or moral values (pathos)","negative emotion (fear, anger, guilt, etc.)",,,25,,2024-04-13 22:30:54+00:00,2024-04-13T22:30:54Z,0.0,elsoil3387,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BUr8IAU19,It was NOT an embassy. Not even a consulate as they claimed. It was a building from which they were supporting the activities of Revolutionary Guards. The Embassy stands untouched next to it.,user_0034,,iranian embassy bombing,"appeal to reason, giving evidence (logos), appeal to/challenging authority (ethos)",,,media,33,,2024-04-13 22:31:09+00:00,2024-04-13T22:31:09Z,0.0,,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BUvNzkZPP,does Russia also have the right to hit USA since they’re also giving money and weapons to Ukraine?,user_0035,,"israel, the west","appeal to reason, giving evidence (logos), appeal to emotion or moral values (pathos)","negative emotion (fear, anger, guilt, etc.)",,,18,"Iran was financing attacks against Israel for a long time. Just because they were not directly involved, it doesn’t mean they can deny this. Israel had all the right to hit Iranian targets to defend itself",2024-04-13 22:31:44+00:00,2024-04-13T22:31:44Z,0.0,feszty,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BUwCi8jhC,how many times have the Arab countries attacked Israel without provocation? Who broke the peace first after WWII? Wasn’t Israel,user_0032,israel,iran,"appeal to reason, giving evidence (logos), appeal to emotion or moral values (pathos)","negative emotion (fear, anger, guilt, etc.)",,,20,​ did you forget 75 yrs of Israeli genocide and Apartheid?,2024-04-13 22:31:51+00:00,2024-04-13T22:31:51Z,0.0,rakheesivnath8804,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BV21JSJ1J,what does that have to do with israel attacking an embassy in iran?,user_0036,iran,"israel, iranian embassy bombing",,,,,14,,2024-04-13 22:32:47+00:00,2024-04-13T22:32:47Z,10.0,elsoil3387,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BV2OKNdFj,Iran has funded and trained Hamas and Hezbollah for years which fire rockets at Israel Iran started this,user_0037,israel,"iran, iran's attack, hamas","appeal to reason, giving evidence (logos), appeal to emotion or moral values (pathos)","negative emotion (fear, anger, guilt, etc.)",,,18,,2024-04-13 22:32:50+00:00,2024-04-13T22:32:50Z,0.0,,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BV3eyEamI,​ You don't know basic facts. What is 75 years BS. Gaza was Egyptian territory until 1967. West Bank was Jordanian until 1967. Arab neighbors invaded Israel after it declared independence in 1948 and that's how Gaza and West Bank became property of Egypt and Jordan. The UN partition plan offered a state to both Jews and Palestinians and the Palestinians refused because they wanted *all* the land. Educate yourself ffs.,user_0038,"israel, the west",iran,"appeal to reason, giving evidence (logos), appeal to emotion or moral values (pathos), appeal to/challenging authority (ethos)","negative emotion (fear, anger, guilt, etc.)",,user,71,​ did you forget 75 yrs of Israeli genocide and Apartheid?,2024-04-13 22:33:00+00:00,2024-04-13T22:33:00Z,46.0,rakheesivnath8804,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BV4druaZg,"So… according to you, Hamas attacking Israel gives Israel the right to bomb Syria, Lebanon, Iraq, and Iran. Could you explain to me your logic?",user_0039,,israel,appeal to emotion or moral values (pathos),"negative emotion (fear, anger, guilt, etc.)",,,25,,2024-04-13 22:33:08+00:00,2024-04-13T22:33:08Z,21.0,elsoil3387,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BVNoH-XTR,did you forget what the Palestinian go through for more than 70 years,user_0040,iran,,"appeal to reason, giving evidence (logos)",,,,13,,2024-04-13 22:35:45+00:00,2024-04-13T22:35:45Z,12.0,elsoil3387,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BVYbr7BbD,"​ Check the facts. It's called ""IRGC-Al Qods"". Read about it yourself.",user_0038,,iran,"appeal to reason, giving evidence (logos), appeal to emotion or moral values (pathos), appeal to/challenging authority (ethos)","negative emotion (fear, anger, guilt, etc.)",,user,12,"So… according to you, Hamas attacking Israel gives Israel the right to bomb Syria, Lebanon, Iraq, and Iran. Could you explain to me your logic?",2024-04-13 22:37:14+00:00,2024-04-13T22:37:14Z,0.0,hello7522,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
885,BREAKING: Iran launches “mass drone and missile attack” on Israel | BBC News,Ugz3AU_XklHGNdwnqhN4AaABAg.A2BRiFECBnXA2BVptPeWLt,"​no, they don't, you immature t3rrorists defender",user_0041,,iran,"appeal to emotion or moral values (pathos), appeal to/challenging authority (ethos)","negative emotion (fear, anger, guilt, etc.)",,user,7,exactly by that prospective iran has the right to defend,2024-04-13 22:39:43+00:00,2024-04-13T22:39:43Z,0.0,_NFEZ,Ugz3AU_XklHGNdwnqhN4AaABAg,But Isreal attacked Iran first. So Isreal's attack was not reckless? So it would seem that only certain countries have the right to defend themsleves..,en
