annotator,title,comment_id,comment_text,context,stance_pro,stance_con,word_count
ai,Трамп — Зеленскому: «Вы доиграетесь до Третьей мировой». Полная версия спора с субтитрами,UgwH54c9qkaGMeZXI694AaABAg.AF6lJb1yOA4AF7DKWOLj32,"@user Ни кто не имеет права унижать человека или вы считаете,что это не так?","Теперь в спорах с женой, я буду ей говорить-""Ты не в том положении, у тебя плохие карты ""😅",владимир зеленский,дональд трамп,14
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg,"Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю","Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю",крым российский,,24
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg.A-rnLmyAm74A-sjo7Aw2F2,"Ukraine ""started the war"" on its own territory in 2014, and the Russian Federation decided to ""end"" it on someone else's land in 2022, so it destroyed Mariupol, Bakhmut, Maryinka, Avdiivka and dozens of other cities in Donbas. This is logical. This is salvation, not genocide of Russians in eastern Ukraine 🤡.","Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю",,"война в украине, россия",52
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg.A-rnLmyAm74A-toTWaMrL9,"Голанские высоты это маленький клочек земли, возвышенность просто. Там люди то особо и не живут, а Крым это огромный регион, полуостров, который по размерам больше чем весь Израиль. И его никто не признал израильским кроме США, весь остальный Запад и мир не признает. Как вообще можно такое сравнивать? Вы хотя бы почитайте возьмите про это, прежде чем блистать своим невежеством и тупостью. Ещё скажите что референдум в Крыму честный был, под дулами автоматом, который ни одно вменяемое государство не признает. Только в России такое возможно, в варварской и архаичной стране, с 80% людоедскими дебилами, которым каждый год ссут на голову, а они думают, что это роса. Позорище.","Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю",,"голанские высоты, крым российский, россия",107
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg.A-rnLmyAm74A-uaqCVINgI,Голландцы таки совсем не против. Шо вы имеете предъявить?)),"Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю",голанские высоты,,9
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg.A-rnLmyAm74A-uh-rVzY8-,"Референдум в условиях оккупации? Ну-ну. Что Крым ,что Донбасс. Это ещё хуже ,чем Голландские высоты. Неприкрытый цинизм , рассчитанный на идиотов. В такое голосование поверят только староверы из тайги,которые 50 лет газет не читали , но не люди 21 века. А если вдруг староверы побывают на Донбассе, то и им все станет понятно .","Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю",,"война в украине, голанские высоты, крым российский",54
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg.A-rnLmyAm74A-utYGtFBP7,"Это тот ""референдум"", назначение которого сделано депутатами, которых согнали оружием российские войска. )))","Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю",,"крым российский, россия",13
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg.A-rnLmyAm74A-uxxMMcNd2,"@user сделать хотя такой, но ведь не могут","Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю",крым российский,голанские высоты,8
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg.A-rnLmyAm74A-v2LEnZDsp,"@user""хоть такой"" не признан референдумом во всем мире, потому что у слов есть определённый смысл...","Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю",,крым российский,15
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg.A-rnLmyAm74A-v2PNgCvJq,@user такое же как и авианосцы США. Приплывают же с проверкой.,"Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю",,сша,11
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg.A-rnLmyAm74A-v4Ko1PEo-,"Мы все знаем как проводился референдум в Крыму. Также как и в брежневские времена- людей купили пенсиями, обещаниями лучшей жизни, колбасой на референдуме и пере даче Украинской недвижимости жадным россиянам. Ничего нового. Кремлевский карлик использовал весь арсенал и опыт коммуняк.","Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю",,"крым российский, россия",40
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg.A-rnLmyAm74A-v6L2bq38K,"@user Даже если в проведении референдума в Крыму и были какие-то нарушения, виновата крайне правая толпа Майдана с их угрозами так называемых ""поездов дружбы"". Нынешний украинский режим НИКОГДА не проводил референдумов, то есть НИКОГДА не давал людям права голоса в вопросах по вступлению в НАТО и ЕС или по выходy из связей с Россией","Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю","крым российский, россия",майдан,54
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg.A-rnLmyAm74A-vCHiCelmM,"@user Если вы сожгли обед на плите, в этом виновата ведущая первого канала, которая громко говорила из телека и отвлекала вас.
А в насильственном сгоне крымских депутатов русскими солдатами и референдуме за месяц виноват Майдан.
Я с вами полностью согласен.
Вообще вы требуете от чужого государства проведения референдума, вы отказываете такой стране в суверенитете. Смотрите, что бы вам кто-то не указал, что нужно провести повторный референдум в Татарстане - желания обычно ""прилетают"" обратно.","Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю",майдан,"крым российский, россия",73
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg.A-rnLmyAm74A-vCTEoctyp,"@user нет, на этот депутат пошли все жители Крыма. этот вопрос, в отличие от голосования в косово решался не так. вот в косово то как раз решали в парламенте косово под вооруженной охраной косовской ""полиции""","Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю",крым российский,,35
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg.A-rnLmyAm74A-vCXZyDBMy,"@user я крымчанка, я из Керчи, и уверяю нас никто не гнал на референдум, мы все шли с радостью голосовать, этот день был праздником , конечно были люди которые голосовали ""против"", но их было подавляющее меньшенство! ☝️","Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю",крым российский,,37
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg.A-rnLmyAm74A-vCfJQ4f24,"@user тот референдум. На котором я, Крымчанин, будучи уроженцем Кировоградской области, пошел и проголосовал за присоединение к России!","Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю",крым российский,,18
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg.A-rnLmyAm74A-vDAXGH242,"@user самое нелепое сравнение и абсолютно глупая метафора. ""Ведущая первого канала"" не поджигала на моих глазах милицию, не убивала анти-майдановцев под Корсунь-Шевченковском, не растреливала ""небесную сотню"" и не грозила приехать в мой дом чтобы сделать его ""або украинским або безлюдным"". Это всё делали майданутые праворадикалы, захватившие власть в Киеве","Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю",,майдан,49
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg.A-rnLmyAm74A-vE7YXchV2,"@user логическая ошибка во фразе не признан во всем мире. он должен быть признан всем миром? частью мира он признан, и РФ не обязана спрашивать у какой-нибудь проамериканской либерии, признает она этот референдум или нет. РФ запрашивала наблюдателей на выборы со всего мира, но приехали только из некоторых стран, которые и признали этот референдум. так что референдум признан. точно так же как и косово было признано некоторыми странами нато. вот это тот самый смысл, который нужно понимать. все остальное это попытка исказить реальность","Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю","крым российский, россия",,83
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg.A-rnLmyAm74A-vEG0P-QRr,"@user Я не понимаю, зачем вы пишите эту ложь: Гиркин признался, что они отлавливали депутатов, в зале для голосования были русские автоматчики, за отсутствующих депутатов голосовали.
А в бюллетене для голосования отсутствовала позиция ""ничего не менять, оставить действующий статус"". А где же агитация противоположной стороны, чтобы остаться?
У вас абсолютно извращённое понимание, что такое референдум, абсолютно советское, выхолощенное понимаете избирательных процессов - если где-то написано слово ""выборы"" и ""референдум"", то, значит, это выборы и референдум. В СССР были ""выборы"", где ""за"" голосовало 99 процентов. В любой другой стране, где были выборы, понимали, что это абсолютная иммитация.","Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю",,крым российский,96
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg.A-rnLmyAm74A-vEZyDtC6_,"@user глупость подобных заявлений заключается в том, что под дулами автоматов согнать и заставить все население крыма невозможно. точно так же как и население Донбасса. если бы это было возможно, то в косово также были бы проведены такой референдум и сербов бы автоматами заставили проголосовать. но ведь такого он не смогли сделать и ограничились голосованием депутатов","Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю",крым российский,,56
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg.A-rnLmyAm74A-vEytJW2QP,"@user что делал и что говорит Гиркин не имеет к делу отношения. Один (только лишь один) из тех депутатов проголосовал против присоединия Крыма к России и никто его пальцем не тронул. И впоследствии он эти показания давал в Киеве на суде. Так что себе в отверстие засунь ""пiд дулом автоматов""","Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю",крым российский,,50
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg.A-rnLmyAm74A-vICoFypjT,@user Спасибо за честные слова! ❤❤❤ Но некоторым это бесполезно объяснять (((,"Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю",крым российский,голанские высоты,12
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg.A-rnLmyAm74A-vOWTtqIJn,"@user как выяснилось под дулами автоматов и не такое возможно. Не то, что референдум - маму родную продашь!","Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю",,крым российский,18
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg.A-rnLmyAm74A-vTPG__GD3,"Я тоже, ну честно без вранья, тоже не видела референдума в Крыму. Давайте наконец то называть вещи своими именами, вы захватнически вторглись в Украину, так же как вторглись в ДНР, ДНР И КРЫМ! АКУПАНТЫ! ЭТО ИЗВЕСТНО ВСЕМУ МИРУ,довольно вашего вранья, вы либо слепы, либо глупы, ТОЛЬКО НЕ ВАМ. 🤷♀️😅","Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю",,"война в украине, крым российский, россия",49
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg.A-rnLmyAm74A-vWhDKU1Ji,Небензя Вы зря оправдыва етис перед этим вражиной выбор перед нашим народом никто ему не указ как жить Тем более это враги которые воюют с нашей страной.,"Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю",россия,запад,27
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg.A-rnLmyAm74A-vXo6xglsq,"@user Я не понимаю, зачем вы пишете эту ложь? не депутаты принимали решение о статусе крыма, а народ крыма. после вашего фейла в этом комменте не намерен больше серьезно обсуждать эту тему. идите лучше в укропаблики дальше рассказывать сказки простым украинцам, ведь без ваших рассказов они не захотят записываться в военкомат танкистом леопарда","Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю",крым российский,мобилизация,53
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg.A-rnLmyAm74A-vYwoecGV4,@user и сейчас депутаты там же и вряд ли против.,"Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю",крым российский,,10
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg.A-rnLmyAm74A-vvuCIAcgi,"@user не подскажите, по какому законодательству проводился референдум в Крыму? По российскому законодательству? Или по украинскому законодательству?","Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю",,крым российский,17
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg.A-rnLmyAm74A-w0cc0BvA5,"@user на каком основании укрАина оккупировала Крым и Севастополь в 1991 году? Статья 3. В союзной республике, имеющей в своем составе автономные республики, автономные области и автономные округа, референдум проводится отдельно по каждой автономии. За народами автономных республик и автономных образований сохраняется право на самостоятельное решение вопроса о пребывании в Союзе ССР или в выходящей союзной республике, а также на постановку вопроса о своем государственно-правовом статусе.","Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю",крым российский,,66
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg.A-rnLmyAm74A-w0w0HI090,"@user по такому же какому проводила референдум укрАина, выходя из состава СССР. Прежде чем показывать свою тупость, изучите матчасть. Хотя бы почитайте документы.","Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю",крым российский,,23
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg.A-rnLmyAm74A-w4P99F9OR,"@user Их принудительно повязали, впутав в незаконное дело, поэтому те, кто не уехал, похоже ""не против"".
Вот мне действительно любопытно, когда вы такое пишите, какой реакции вы ожидаете от людей, способных свести элементарные вещи вместе...","Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю",,крым российский,35
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg.A-rnLmyAm74A-w4u4jeD4S,"@user подсказываю: в день проведения референдума в Крыму эта свободная Республика была уже вне государства Украина, потому что на Украине не стало законной власти. Но и в составе РФ Крым в тот день еще не был. Так что референдум прекрасно провели не по украинскому закону и не по российскому закону, а ПО КРЫМСКОМУ закону.☝️ Да здравствует свобода! ...не правда ли?😉","Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю",крым российский,майдан,60
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg.A-rnLmyAm74A-w5SQ7ZhjP,"@user Сейчас вы описали похожую, чуть сложную схему ""добровольного присоединения"" прибалтийских государств к СССР в 1940 году. )","Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю",,крым российский,18
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg.A-rnLmyAm74A-w6t0HAq9H,"@user Забавно: сначала вы кричите, что Россия не обязана спрашивать и ожидать признания третьих стран, а потом вы возмущаетесь, что к России плохое отношение других стран, её несправедливо обвиняют..)","Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю",,"крым российский, россия",29
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg.A-rnLmyAm74A-w8B1DzuFn,"@user Ахах. Решение о выходе при проведении настоящих референдумов принимаются по результатам этих референдумов. Верховная Рада АК Крым приняла под дулами автоматов постановление, в котором принимает первым пунктом решение о вхождении в состав РФ, а вторым - референдум на этот вопрос. Так зачем референдум, если вопрос уже решён? )))","Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю",,крым российский,49
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg.A-rnLmyAm74A-wCeZvO75K,"@user вы очень сильно ошибаетесь , потому что слушаете своих пропагандистов , вместо того, чтобы включить логику. В Украине на тот момент была законная власть - это Верховная рада Украины, выбранная народом Украины. Если президент Украины сбежал или умер, это не означает того, что вся Верховная Рада сбежала. Глава Верховной Рады Украины автоматически становится временно исполняющий обязанности президента Украины до проведения новых выборов. Крым на тот момент, да и на этот момент - это территория Украины. Крым - это не отдельная страна и не может иметь собственного законодательства по которому страна может провести референдум. Так по какому законодательству был проведен псевдореферендум в Крыму?","Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю",майдан,крым российский,103
ai,Василий Небензя: «Мы находимся в конфликте с Западом» | Интервью Би-би-си,UgwUeYSjL8Tn86aTXaN4AaABAg.A-rnLmyAm74A-wCfW52f6S,"@user давайте по пунктам. 1. По итогам референдума решался вопрос ""куда дальше?"". Текущая ситуация на момент проведения была как известно революционная - то есть форс мажорная. В столице Украины был гос.переворот, нарушение конституции и угроза народу Республики Крым. Какая ситуация - такая и законность. Крымчане решили что они свободны от назаконной власти, понли что наxодятся на юридической развилке, задали сами себе вопрос и подавляющим большинством голосов ответили на него. Точка. И никто не сможет это опровергнуть.
2. Пресловутые ""дула автоматов"" занимались не принуждением к референдуму, а ЗАЩИТОЙ народа крыма от майданутыx и от татарскиx националистов. 3. Вам не понравилась ""подмена законности референдума добровольностью участия в нём"" народа Крыма. Минутку! но разве не народ источник власти? Это же любимый аргумент майданутыx когда они пытаются оправдать свой право-радикальный переворот. Только они забывают одну важную детль- ЧТОБЫ ПРОИЗНОСТЬ СЛОВО НАРОД НАДО СПЕРВА ПРОВЕСТИ РЕФЕРЕНДУМ. А в незалэжной Украине референдумы по важным судьбоносным вопросам как внеблоковый статус, курс на ЕС и НАТО не проводился НИКОГДА, ни законными способами ни форсмажорными.","Двойной стандарт - это сравнивать Голанские высоты и Крым. Что то я не припоминаю, что жители Голанских высот проводили референдум о присоединении к Израилю",крым российский,майдан,166
